song,artist
"""Shadow Dancing""",Andy Gibb
Call Me Maybe,Carly Rae Jepsen
Robin Thicke,Blurred Lines
No One,Alicia Keys
Perfect,Ed Sheeran
Boyz II Men,End of the Road
Call Me,Blondie
Let Me Love You,Mario
Stayin' Alive,Bee Gees
Lady,Kenny Rogers
TikTok,Ke$Ha
I'm a Believer,The Monkees
Gold Digger,Kanye West
Apologize,One Republic (Feat. Timbaland)
Sicko Mode,Travis Scott Feat. Drake
The Sign,Ace of Base
Centerfold,J. Geils Band
All About That Bass,Meghan Trainor
Bad Guy,Billie Eilish
The Boy Is Mine,Brandy & Monica
Because I Love You (The Postman Song),Stevie B
I Love Rock N' Roll,Joan Jett & the Blackhearts
God's Plan,Drake
Aquarius/Let the Sunshine in,The 5th Dimension
Whoomp! There It Is,Tag Team
Moves Like Jagger,Maroon 5 Ft Christina Aguilera
Ebony and Ivory,Paul McCartney and Stevie Wonder
Rush Rush,Paula Abdul
Dionne and Friends,That's What Friends Are For
Pharrell Williams,Happy
Upside Down,Diana Ross
Sugar Sugar,The Archies
Just the Way You Are,Bruno Mars
Dilemma,Nelly
I Heard It Through the Grapevine,Marvin Gaye
You're Still the One,Shania Twain
Billie Jean,Michael Jackson
Hot Stuff,Donna Summer
Abracadabra,Steve Miller Band
You're So Vain,Carly Simon
"Say You, Say Me",Lionel Richie
All Night Long (All Night),Lionel Ritchie
Nothing Compares 2 U,Sinead O'Connor
All-4-One,I Swear
Family Affair,Mary J. Blige
Waiting for a Girl Like You,Foreigner
Are You Lonesome Tonight?,Elvis Presley
Killing Me Softly With His Song,Roberta Flack
Wiz Khalifa Ft. Charlie Puth,See You Again
Puff Daddy & Faith Evans Featuring 112,I'll Be Missing You
Dark Horse,Katy Perry Ft. Juicy J
Raindrops Keep Fallin' on My Head,B.J. Thomas
Another Day in Paradise,Phil Collins
One More Night,Maroon 5
Someone You Loved,Lewis Capaldi
We Are Young,Fun.
That's What I Like,Bruno Mars
Usher,You Make Me Wanna...
Big Girls Don't Cry,Fergie
The Way We Were,Barbra Streisand
Another Night,Real McCoy
It's Now or Never,Elvis Presley
The Box,Roddy Ricch
Do That to Me One More Time,Captain & Tennille
A Fifth of Beethoven,Walter Murphy
Maria Maria,Santana
Prince,When Doves Cry
I Will Survive,Gloria Gaynor
I Can't Stop Loving You,Ray Charles
U Got It Bad,Usher
Whatever You Like,T.I.
Bleeding Love,Leona Lewis
"Independent Women, Part 1",Destiny's Child
Foolish,Ashanti
My Love,Paul McCartney & Wings
The Hills,The Weeknd
Nobody Knows,The Tony Rich Project
Alone Again (Naturally),Gilbert O'Sullivan
All of Me,John Legend
Happier,Marshmello & Bastille
Taylor Swift,Shake It Off
Roberta Flack,The First Time Ever I Saw Your Face
One Dance,Drake
Sexy and I Know It,LMFAO
Someone Like You,Adele
Hey Ya!,Outkast
"Another Brick in the Wall, Part 2",Pink Floyd
Burn,Usher
The Way You Move,Outkast
Faith,George Michael
Crank That (Soulja Boy),Soulja Boy Tell 'em
Because You Loved Me,Celine Dion
In Da Club,50 Cent
Venus,Frankie Avalon
Onerepublic,Counting Stars
Crazy Little Thing Called Love,Queen
Rhinestone Cowboy,Glen Campbell
Breathe,Faith Hill
I'm Sorry,Brenda Lee
Beyoncé,Irreplaceable
Total Eclipse of the Heart,Bonnie Tyler
Wham! w/ George Michael,Careless Whisper
Kiss You All Over,Exile
Hanging by a Moment,Lifehouse
The Bangles,Walk Like an Egyptian
E.T.,Katy Perry Ft. Kanye West
Domenico Modugno,Volare (Nel Blu Dipinto Di Blu)
To Know Him Is to Love Him,The Teddy Bears
Lose Yourself,Eminem
I'll Be There,Jackson 5
Fallin',Alicia Keys
Creep,TLC
"Love Theme From ""A Star Is Born"" (Evergreen)",Barbra Streisand
Love Is Blue,Paul Mauriat
Disco Duck,Rick Dees & His Cast of Idiots
I'm Real,Jennifer Lopez
Goodies,Ciara
Don't You Want Me,The Human League
Da Ya Think I'm Sexy?,Rod Stewart
Waterfalls,TLC
Maggie May,Rod Stewart
The Four Seasons,Big Girls Don't Cry
Nelly,Hot in Herre
I Write the Songs,Barry Manilow
Jessie's Girl,Rick Springfield
Boogie Oogie Oogie,A Taste of Honey
Woman in Love,Barbra Streisand
Fetty Wap,Trap Queen
Truth Hurts,Lizzo
Run It!,Chris Brown
Elton John,Philadelphia Freedom
Love Yourself,Justin Bieber
Jimmy Gilmer & the Fireballs,Sugar Shack
Honky Tonk Women,The Rolling Stones
Just Dance,Lady Gaga
Vogue,Madonna
Love Takes Time,Mariah Carey
Keep on Truckin',Eddie Kendricks
Live Your Life,T.I. Feat. Rihanna
(Sittin' On) the Dock of the Bay,Otis Redding
Baby Boy,Beyonce
Firework,Katy Perry
Lollipop,Lil' Wayne Ft. Static Major
Crocodile Rock,Elton John
It Must've Been Love,Roxette
Vision of Love,Mariah Carey
American Pie,Don McLean
Smoke Gets in Your Eyes,The Platters
Hard to Say I'm Sorry,Chicago
Big Bad John,Jimmy Dean
He'll Have to Go,Jim Reeves
Miss You Much,Janet Jackson
"(Shake, Shake, Shake) Shake Your Booty",KC & the Sunshine Band
Down Under,Men at Work
Terry Jacks,Seasons in the Sun
We Are the World,USA for Africa
Lulu,To Sir With Love
Need You Now,Lady Antebellum
Locked Out of Heaven,Bruno Mars
Cathy's Clown,The Everly Brothers
John Mellencamp,Jack & Diane
Jump,Van Halen
Hold on,Wilson Phillips
Lucid Dreams,Juice WRLD
Bridge Over Troubled Water,Simon and Garfunkel
Knock Three Times,Dawn
Mr. Blue,The Fleetwoods
Love the Way You Lie,Eminem Ft. Rihanna
One More Try,Timmy T
Lonely Boy,Paul Anka
Thinking Out Loud,Ed Sheeran
On Bended Knee,Boyz II Men
Islands in the Stream,Kenny Rogers & Dolly Parton
Sorry,Justin Bieber
Bobby Goldsboro,Honey
Coming Up (Live at Glasgow),Paul McCartney
I'm Sorry/Calypso,John Denver
You're Makin' Me High/Let It Flow,Toni Braxton
Peppermint Twist,Joey Dee & the Starliters
California Gurls,Katy Perry Ft. Snoop Dogg
Arthur's Theme (Best That You Can Do),Christopher Cross
Kiss and Say Goodbye,The Manhattans
Beyonce Featuring Jay-Z,Crazy in Love
*It's Too Late,Carole King
Broken Wings,Mr. Mister
From a Distance,Bette Midler
Taio Cruz,Dynamite
Alone,Heart
(They Long to Be) Close to You,Carpenters
Bobby Vinton,Roses Are Red
Can't Fight This Feeling,REO Speedwagon
Hollaback Girl,Gwen Stefani
*Stagger Lee,Lloyd Price
Poison,Every Rose Has Its Thorn
The Streak,Ray Stevens
Fantasy,Mariah Carey
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston
I Can't Go for That (No Can Do),Hall & Oates
Disco Lady,Johnnie Taylor
Bennie and the Jets,Elton John
Poker Face,Lady Gaga
Love Rollercoaster,Ohio Players
Señorita,"Shawn Mendes, Camila Cabello"
Running Bear,Johnny Preston
Money for Nothing,Dire Straits
If You Leave Me Now,Chicago
I Think I Love You,The Partridge Family
Unbelievable,EMF
People Got to Be Free,The Rascals
On My Own,Patti Labelle & Michael Mcdonald
The First Time,Surface
"Hey, Soul Sister",Train
Beat It,Michael Jackson
(Love Is) Thicker Than Water,Andy Gibb
Crazy for You,Madonna
Wonderland by Night,Bert Kaempfert
Take a Bow,Madonna
Love Child,Diana Ross & the Supremes
Can't Nobody Hold Me Down,Puff Daddy
Kryptonite,3 Doors Down
She Loves You,The Beatles
What's Love Got to Do With It,Tina Turner
Hello,Adele
Stuck on You,Elvis Presley
The Three Bells,The Browns
"Bad, Bad Leroy Brown",Jim Croce
One of These Nights,Eagles
Rock With You,Michael Jackson
More Than Words,Extreme
Midnight Train to Georgia,Gladys Knight & the Pips
In the Year 2525,Zager and Evans
Everyday People,Sly & the Family Stone
Escapade,Janet Jackson
Separate Lives,Phil Collins & Marilyn Martin
I Want to Know What Love Is,Foreigner
It's Still Rock and Roll to Me,Billy Joel
Reunited,Peaches & Herb
No Diggity,Blackstreet
Chicago,Look Away
Work,Rihanna Feat. Drake
Promiscuous,Nelly Furtado Ft. Timbaland
Tommy James & the Shondells,Crimson and Clover
The Monkees,Daydream Believer
Footloose,Kenny Loggins
Against All Odds (Take a Look at Me Now),Phil Collins
Three Times a Lady,The Commodores
I Like It,"Cardi B Ft. J Balvin, Bad Bunny"
"""That's the Way (I Like It)""",K.C. & the Sunshine Band
I Like the Way (The Kissing Game),Hi-Five
Poison,Bell Biv Devoe
I Knew I Loved You,Savage Garden
I'd Really Love to See You Tonight,England Dan & John Ford Coley
Steve Winwood,Roll With It
Still,The Commodores
Ode to Billie Joe,Bobbie Gentry
Player,Baby Come Back
Straight Up,Paula Abdul
Empire State of Mind,Jay-Z
Wake Me Up,Avicii
Half-Breed,Cher
The New Vaudeville Band,Winchester Cathedral
My Sweet Lord,George Harrison
UB40,(I Can't Help) Falling in Love With You
Don't Let Me Down,The Chainsmokers Featuring Daya
Havana,Camila Cabello
OMG,Usher
Wow.,Post Malone
Lean Back,Terror Squad
YMCA,Village People
With Arms Wide Open,Creed
Anita Ward,Ring My Bell
"""Love Hangover""",Diana Ross
Since U Been Gone,Kelly Clarkson
Quit Playing Games With My Heart,Backstreet Boys
No Scrubs,TLC
Everybody Wants to Rule the World,Tears for Fears
(I Can't Get No) Satisfaction,The Rolling Stones
Limbo Rock,Chubby Checker
Dreamlover,Mariah Carey
Drop It Like It's Hot,Snoop Dogg
Opposites Attract,Paula Abdul
Viva La Vida,Coldplay
Iggy Azalea,Fancy
We Didn't Start the Fire,Billy Joel
Sucker,Jonas Brothers
Can't Feel My Face,The Weeknd
Escape (The Pina Colada Song),Rupert Holmes
Will It Go Round in Circles,Billy Preston
Get Busy,Sean Paul
Stranger on the Shore,Mr Acker Bilk
The First Night,Monica
Taylor Swift,You Belong With Me
If I Ain't Got You,Alicia Keys
Runaway,Del Shannon
With or Without You,U2
The Power of Love,Huey Lewis and the News
Nobody's Supposed to Be Here,Deborah Cox
S/Sgt. Barry Sadler,Ballad of the Green Berets
I Just Called to Say I Love You,Stevie Wonder
Top of the World,The Carpenters
Los Lobos,La Bamba
Twisted,Keith Sweat
Dancing Machine,The Jackson 5
"""Funkytown""",Lipps Inc
Magic,Olivia Newton-John
Candy Shop,50 Cent
I Love You Always Forever,Donna Lewis
Believe,Cher
George Michael,One More Try
Ghostbusters,Ray Parker Jr
My Heart Has a Mind of Its Own,Connie Francis
Kiss From a Rose,Seal
"December, 1963 (Oh, What a Night)",The Four Seasons
Gloria,Laura Branigan
Blank Space,Taylor Swift
Everything You Want,Vertical Horizon
Lionel Richie,Hello
It's All Coming Back to Me Now,Celine Dion
The Power of Love,Celine Dion
Windy,The Association
Brand New Key,Melanie
Cheap Thrills,Sia
Some Nights,Fun.
Right Here Waiting,Richard Marx
Bad Day,Daniel Powter
7 Rings,Ariana Grande
Woman,John Lennon
Stay With Me,Sam Smith
Umbrella,Rihanna
The Young Rascals,Groovin' (1967)
Can't Hold Us,MacKlemore & Ryan Lewis
That's the Way Love Goes,Janet Jackson
How to Save a Life,The Fray
Heartaches by the Number,Guy Mitchell
Styx,Babe
I Can't Get Next to You,The Temptations
Owner of a Lonely Heart,Yes
Where My Girls At?,702
The Singing Nun,Dominique
"1, 2 Step",Ciara
Light My Fire,The Doors
All That She Wants,Ace of Base
Exodus,Ferrante & Teicher
El Paso,Marty Robbins
Bad Romance,Lady Gaga
Starland Vocal Band,Afternoon Delight
Justify My Love,Madonna
Blaze of Glory,Bon Jovi
Please Don't Go,KC and the Sunshine Band
Bird Dog,The Everly Brothers
How Am I Supposed to Live Without You,Michael Bolton
The Beatles,Let It Be
Baby Got Back,Sir Mix-A-Lot
Dizzy,Tommy Roe
Better Now,Post Malone
Lost in Your Eyes,Debbie Gibson
He's So Fine,The Chiffons
Someday,Mariah Carey
Get Up and Boogie,Silver Convention
Quarterflash,Harden My Heart
The Letter,The Box Tops
Mariah Carey,Hero
Shake You Down,Gregory Abbott
Before the Next Teardrop Falls,Freddy Fender
How Can You Mend a Broken Heart?,Bee Gees
Stay,Lisa Loeb & Nine Stories
Touch Me in the Morning,Diana Ross
Sexyback,Justin Timberlake
Starship,We Built This City
Kung Fu Fighting,Carl Douglas
This Is How We Do It,Montell Jordan
Huey Lewis and the News,Stuck With You
Without You,Nilsson
Party All the Time,Eddie Murphy
Rick Astley,Never Gonna Give You Up
I Adore Mi Amor,Color Me Badd
I'm Yours,Jason Mraz
Steve Miller Band,The Joker
The Rubberband Man,The Spinners
Sweet Child O' Mine,Guns N' Roses
Come Softly to Me,The Fleetwoods
All the Man That I Need,Whitney Houston
Don't Let Go (Love),En Vogue
Pump Up the Jam,Technotronic
Everytime You Go Away,Paul Young
Ain't It Funny,Jennifer Lopez
Don't Know Much,Linda Ronstadt
Temperature,Sean Paul
This Guy's in Love With You,Herb Alpert
George Harrison,Got My Mind Set on You
9 to 5,Dolly Parton
Mark Dinning,Teen Angel
High Enough,Damn Yankees
Disturbia,Rihanna
Rock Me Amadeus,Falco
Like a Prayer,Madonna
I Love a Rainy Night,Eddie Rabbitt
Billy Paul,Me & Mrs. Jones
Close to You,Maxi Priest
Runaround Sue,Dion
Bohemian Rhapsody,Queen
"I Can't Help Myself (Sugar Pie, Honey Bunch)",The Four Tops
Rosanna,Toto
The Four Seasons,Sherry
Simple Minds,Don't You (Forget About Me)
Bobby Vinton,There I've Said It Again
Kyrie,Mr. Mister
Put Your Head on My Shoulder,Paul Anka
MacArthur Park,Donna Summer
Karma Chameleon,Culture Club
You've Lost That Lovin' Feelin',The Righteous Brothers
Save the Last Dance for Me,The Drifters
Kiss,Prince and the Revolution
You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond
Always Be My Baby,Mariah Carey
Rude,Magic!
St Elmo's Fire (Man in Motion) (John Parr,'St Elmo's Fire')
Stand by Me,Ben E. King
Release Me,Wilson Phillips
Marilyn McCoo & Billy Davis Jr.,You Don't Have to Be a Star
"Thank U, Next",Ariana Grande
I Kissed a Girl,Katy Perry
I'm Your Baby Tonight,Whitney Houston
Island Girl,Elton John
Cold Hearted,Paula Abdul
"""Fly, Robin, Fly""",Silver Convention
New Kids on the Block,Step by Step
Janet Jackson,Together Again
My Prerogative,Bobby Brown
Then Came You,Dionne Warwick & Spinners
So Emotional,Whitney Houston
Last Date,Floyd Cramer
Whatcha Say,Jason Derulo
Black Velvet,Alannah Myles
Matchbox Twenty,Unwell
Out of Touch,Hall & Oates
Lawrence Welk,Calcutta
"""Jive Talkin'""",The Bee Gees
The Way It Is,Bruce Hornsby & the Range
Minnie Riperton,Lovin' You
How Will I Know,Whitney Houston
3 Doors Down,Here Without You
Give Me One Reason,Tracy Chapman
Freak Me,Silk
Payphone,Maroon 5
Get Low,Lil' Jon
Buy U a Drank (Shawty Snappin'),T-Pain
Hey Paula,Paul and Paula
Don't Talk to Strangers,Rick Springfield
Right Thurr,Chingy
Part-Time Lover,Stevie Wonder
Do Me!,Bell Biv Devoe
The Most Beautiful Girl,Charlie Rich
Delta Dawn,Helen Reddy
Anything for You,Gloria Estefan
Airplanes,B.O.B
Whitesnake,Here I Go Again
I Need to Know,Marc Anthony
Mickey,Toni Basil
Jump,Kris Kross
Blinding Lights,The Weeknd
Vicki Lawrence,The Night the Lights Went Out in Georgia
Nobody,Keith Sweat
No Guidance,Chris Brown Ft. Drake
Love Story,Taylor Swift
Herb Alpert,Rise
Psycho,Post Malone Feat. Ty Dolla Sign
Back at One,Brian McKnight
Pony Time,Chubby Checker
Dorothy Moore,Misty Blue
Milli Vanilli,Blame It on the Rain
A Horse With No Name,America
Ignition (Remix),R. Kelly
I Don't Wanna Cry,Mariah Carey
"Get Outta My Dreams, Get Into My Car",Billy Ocean
"Baby, Come to Me",Patti Austin & James Ingram
Sweet Dreams (Are Made of This),Eurythmics
Cardi B,Bodak Yellow
Christina Aguilera,Genie in a Bottle
Watch Me,Silento
The Supremes,Baby Love
Can't Stop the Feeling!,Justin Timberlake
OMI,Cheerleader (Felix Jaehn Remix)
The Tide Is High,Blondie
Sleep Walk,Santo & Johnny
Lay Down Sally,Eric Clapton
Leaving on a Jet Plane,"Peter, Paul & Mary"
Maniac,Michael Sembello
Kelly Clarkson,Stronger (What Doesn't Kill You)
I Can See Clearly Now,Johnny Nash
Shelley Fabares,Johnny Angel
Mark Morrison,Return of the MacK
Amazed,Lonestar
Too Much Heaven,Bee Gees
Smack That,Akon
The Tears of a Clown,Smokey Robinson & the Miracles
Love Song,Sara Bareilles
She Ain't Worth It,Glenn Medeiros Ft. Bobby Brown
Being With You,Smokey Robinson
What Do You Mean?,Justin Bieber
Papa Don't Preach,Madonna
Everybody's Somebody's Fool,Connie Francis
Wannabe,Spice Girls
Love Machine,The Miracles
Let's Dance,David Bowie
Just the Two of Us,"Grover Washington, Jr."
Boogie Fever,The Sylvers
Where Did Our Love Go?,The Supremes
Could've Been,Tiffany
Nice for What,Drake
Nick Gilder,Hot Child in the City
Always,Bon Jovi
Bob Seger,Shakedown
Right Back Where We Started From,Maxine Nightingale
Time in a Bottle,Jim Croce
Petula Clark,Downtown
You Make Me Feel Like Dancing,Leo Sayer
Elegants,Little Star
Bobby Vinton,Blue Velvet
"Wild, Wild West",The Escape Club
Start Me Up,The Rolling Stones
Bent,Matchbox Twenty
Meant to Be,Bebe Rexha Ft. Florida Georgia Line
Take on Me,A-Ha
Bubbly,Colbie Caillat
Breathe Again,Toni Braxton
Right Round,Flo Rida
You Make Me Feel Brand New,The Stylistics
Come See About Me,The Supremes
Cradle of Love,Billy Idol
Rockin' Robin,Bobby Day
Love's Theme,Love Unlimited Orchestra
My Boyfriend's Back,The Angels
Man in the Mirror,Michael Jackson
Show and Tell,Al Wilson
Didn't We Almost Have It All,Whitney Houston
Family Affair,Sly & the Family Stone
Timber,Pitbull Feat. Ke$Ha
Ice Ice Baby,Vanilla Ice
It Wasn't Me,Shaggy
All Out of Love,Air Supply
Two Hearts,Phil Collins
Soldier Boy,The Shirelles
Private Eyes,Daryl Hall & John Oates
If You Had My Love,Jennifer Lopez
Wake Me Up Before You Go-Go,Wham!
Always on Time,Ja Rule Feat. Ashanti
I Think We're Alone Now,Tiffany
West End Girls,Pet Shop Boys
Romantic,Karyn White
Take Me to Church,Hozier
Informer,Snow
Love So Right,Bee Gees
I Believe I Can Fly,R. Kelly
I Don't Have the Heart,James Ingram
Talk,Khalid
Complicated,Avril Lavigne
Wind Beneath My Wings,Bette Midler
My Humps,Black Eyed Peas
Don't Wanna Lose You,Gloria Estefan
Heathens,Twenty One Pilots
Love Is Alive,Gary Wright
Love in This Club,Usher Ft. Young Jeezy
50 Ways to Leave Your Lover,Paul Simon
My Eyes Adored You,Frankie Valli
Who Can It Be Now?,Men at Work
I Still Haven't Found What I'm Looking for,U2
Oh Pretty Woman,Roy Orbison
Go Away Little Girl,Donny Osmond
Brandy (You're a Fine Girl),Looking Glass
Angel of Mine,Monica
You're Beautiful,James Blunt
(You're) Having My Baby,Paul Anka
Good Vibrations,Marky Mark and the Funky Bunch Feat. Loleatta Hollow
Michael,The Highwaymen
Stand Up,Ludacris
All I Wanna Do Is Make Love to You,Heart
Celebration,Kool & the Gang
Beyonce Featuring Slim Thug,Check on It
Photograph,Nickelback
Return to Sender,Elvis Presley With the Jordanaries
If I Can't Have You,Yvonne Elliman
Love Will Never Do (Without You),Janet Jackson
Telstar,The Tornados
Theme From Greatest American Hero (Believe It or Not),Joey Scarbury
The Flame,Cheap Trick
I Get Around,The Beach Boys
Super Bass,Nicki Minaj
Don't It Make My Brown Eyes Blue,Crystal Gayle
There'll Be Sad Songs (To Make You Cry),Billy Ocean
Duke of Earl,Gene Chandler
U Remind Me,Usher
Hot Chocolate,You Sexy Thing
Let's Hear It for the Boy,Deniece Williams
Indian Reservation,The Raiders
"Billy, Don't Be a Hero",Bo Donaldson & the Heywoods
Dream Weaver,Gary Wright
Stronger,Kanye West
Girl I'm Gonna Miss You,Milli Vanilli
Personality,Lloyd Price
Nothing From Nothing,Billy Preston
Panda,Desiigner
Laughter in the Rain,Neil Sedaka
So What,Pink
Saving All My Love for You,Whitney Houston
Little Jeannie,Elton John
Kiss on My List,Daryl Hall & John Oates
Kiss Kiss,Chris Brown Ft. T-Pain
Girlfriend,Avril Lavigne
You're the One That I Want,John Travolta and Olivianewton-John
Torn Between Two Lovers,Mary MacGregor
Missing You,John Waite
A View to a Kill,Duran Duran
Break Your Heart,Taio Cruz
Work It,Missy Elliott
The Lion Sleeps Tonight,The Tokens
Go Away Little Girl,Steve Lawrence
Slow Hand,The Pointer Sisters
Phil Collins,A Groovy Kind of Love
Wedding Bell Blues,The 5th Dimension
Do Wah Diddy Diddy,Manfred Mann
In My Feelings,Drake
Wrecking Ball,Miley Cyrus
Glory of Love,Peter Cetera
Baby Don't Get Hooked on Me,Mac Davis
Muskrat Love,Captain & Tennille
Keep on Loving You,REO Speedwagon
Hey! Baby,Bruce Channel
Lowdown,Boz Scaggs
Love on the Rocks,Neil Diamond
Ho Hey,The Lumineers
One More Night,Phil Collins
Let Me Blow Ya Mind,Eve
Ain't No Mountain High Enough,Diana Ross
Teenage Dream,Katy Perry
Lonely Night (Angel Face),Captain & Tennille
Addicted to Love,Robert Palmer
Heaven,Bryan Adams
Set Fire to the Rain,Adele
Come Together,The Beatles
I Want You Back,Jackson 5
Motownphilly,Boyz II Men
Missing,Everything but the Girl
Fame,David Bowie
Annie's Song,John Denver
(Can't Live Without Your) Love and Affection,Nelson
Chariots of Fire,Vangelis
Starboy,The Weeknd
Hey There Delilah,Plain White T's
Human,Human League
You'll Never Find Another Love Like Mine,Lou Rawls
Always,Atlantic Starr
Hooked on a Feeling,Blue Swede
Save the Best for Last,Vanessa Williams
Weak,SWV
The Byrds,Turn! Turn! Turn!
Aaliyah,Try Again
(You're My) Soul and Inspiration,The Righteous Brothers
Let's Go Crazy,Prince and the Revolution
Greenfields,The Brothers Four
Do Anything,Natural Selection
Head to Toe,Lisa Lisa & Cult Jam
Good Feeling,Flo Rida
Everything She Wants,Wham!
The Look,Roxette
Bobby Vinton,Mr. Lonely
I Gotcha,Joe Tex
Good Times,Chic
Easy Lover,Philip Bailey & Phil Collins
Sad Eyes,Robert John
You Haven't Done Nothin',Stevie Wonder
Playground in My Mind,Clint Holmes
C'est La Vie,Robbie Nevil
If Wishes Came True,Sweet Sensation
War,Edwin Starr
Coming Out of the Dark,Gloria Estefan
Tha Crossroads,Bone Thugs-N-Harmony
Frankenstein,The Edgar Winter Group
Sara,Starship
Hold on,En Vogue
Single Ladies (Put a Ring on It),Beyonce
Party in the U.S.A.,Miley Cyrus
Emotion,Samantha Sang
Miami Vice Theme,Jan Hammer
One Less Bell to Answer,The 5th Dimension
Sukiyaki,Kyu Sakamoto
Louie Louie,The Kingsmen
I'd Do Anything for Love (But I Won't Do That),Meat Loaf
Angie,The Rolling Stones
Uptown Girl,Billy Joel
Change the World,Eric Clapton
Black Water,Doobie Brothers
Tighten Up,Archie Bell & the Drells
At This Moment,Billy Vera & the Beaters
I Will Follow Him,Little Peggy March
Mama Told Me Not to Come,Three Dog Night
Dream Lover,Bobby Darin
Fireflies,Owl City
Forever,Chris Brown
Blue Moon,The Marcels
Heaven Is a Place on Earth,Belinda Carlisle
Heartless,Kanye West
Someday We'll Be Together,Diana Ross & the Supremes
Sledgehammer,Peter Gabriel
Why,Frankie Avalon
Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee"
If I Ever Fall in Love,Shai
The Sweet Escape,Gwen Stefani
She Drives Me Crazy,Fine Young Cannibals
Travelin' Man,Ricky Nelson
With You,Chris Brown
Starships,Nicki Minaj
ABC,Jackson 5
Time After Time,Cyndi Lauper
Open Arms,Journey
The Loco-Motion,Grand Funk
Grease,Frankie Valli
P!Nk,Just Give Me a Reason Ft. Nate Ruess
Take a Bow,Rihanna
Judy in Disguise (With Glasses),John Fred and His Playboy Band
96 Tears,? & the Mysterians
Dancing on the Ceiling,Lionel Richie
Stitches,Shawn Mendes
Truly,Lionel Richie
Kiss Me,Sixpence None the Richer
My Love,Justin Timberlake Ft. T.I.
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,BJ Thomas
Tragedy,Bee Gees
Drops of Jupiter,Train
Theme From Mahogany (Do You Know Where You're Going To),Diana Ross
Will You Love Me Tomorrow,The Shirelles
He Don't Love You (Like I Love You),Tony Orlando & Dawn
"Gypsys, Tramps & Thieves",Cher
No Air,Jordin Sparks & Chris Brown
My Guy,Mary Wells
